ra              dec            obs_date    obs_time    exposure    exposure_times
357.4600956    49.32952125    20181025    232800    1200    3
25.36459865    -5.980576073    20181025    250800    1200    3
70.33513398    18.67490278    20181025    264800    1200    3
82.02320909    49.56876233    20181025    282800    1200    3
307.814777    57.6290157    20181026    182700    1200    3
310.5357379    27.58285492    20181026    200700    1200    3
349.8144715    16.4081314    20181026    214700    1200    3
357.8170505    57.87145101    20181026    232700    1200    3
27.15794196    -9.923553146    20181026    250700    1200    3
60.49673186    55.695522    20181026    264700    1200    3
87.09972469    14.2552912    20181026    282700    1200    3
302.6550062    43.51149022    20181027    182600    1200    3
313.3966586    26.16237175    20181027    200600    1200    3
330.771408    50.54805895    20181027    214600    1200    3
17.67266886    42.68671335    20181027    232600    1200    3
49.20671862    57.25633304    20181027    250600    1200    3
55.47726297    31.19453061    20181027    264600    1200    3
91.54334094    20.85158925    20181027    282600    1200    3
284.7598305    43.78988535    20181028    182500    1200    3
327.5289717    -5.862224588    20181028    200500    1200    3
354.1683449    39.55656724    20181028    214500    1200    3
16.86809315    21.71262259    20181028    232500    1200    3
46.76598313    49.38681151    20181028    250500    1200    3
68.11536505    10.27687078    20181028    264500    1200    3
95.96707493    -9.12731296    20181028    282500    1200    3
289.5735131    16.41036597    20181029    182400    1200    3
333.1324665    31.82286504    20181029    200400    1200    3
345.2701018    36.9089228    20181029    214400    1200    3
12.42404127    14.44842656    20181029    232400    1200    3
32.61632771    44.39930877    20181029    250400    1200    3
68.19130495    51.12512719    20181029    264400    1200    3
77.99185061    27.6819507    20181029    282400    1200    3
283.5944121    22.9719591    20181030    182300    1200    3
318.6346746    51.77279823    20181030    200300    1200    3
347.806692    -5.812389352    20181030    214300    1200    3
21.67616572    3.989789817    20181030    232300    1200    3
23.12605264    42.59981405    20181030    250300    1200    3
52.91717769    9.274955164    20181030    264300    1200    3
79.51663174    37.47455913    20181030    282300    1200    3
309.7523434    15.24926954    20181031    182200    1200    3
335.6483895    57.8662908    20181031    200200    1200    3
347.7824054    38.62564966    20181031    214200    1200    3
20.72465341    19.72191377    20181031    232200    1200    3
47.53631871    38.86856763    20181031    250200    1200    3
72.6335969    -4.02470791    20181031    264200    1200    3
76.81572933    2.009642805    20181031    282200    1200    3
309.2888842    31.68863656    20181101    182100    1200    3
313.9967553    14.5686096    20181101    200100    1200    3
344.8009909    47.50430414    20181101    214100    1200    3
13.67851468    1.801655439    20181101    232100    1200    3
51.04222068    1.917492986    20181101    250100    1200    3
73.95366384    48.82983657    20181101    264100    1200    3
95.61741768    21.04856047    20181101    282100    1200    3
293.4646427    46.9081606    20181102    182000    1200    3
335.1345491    7.277884168    20181102    200000    1200    3
1.840655595    56.30935685    20181102    214000    1200    3
23.71788635    23.68266261    20181102    232000    1200    3
45.87776867    36.34135482    20181102    250000    1200    3
52.632853    14.16080919    20181102    264000    1200    3
93.76992541    -9.60296262    20181102    282000    1200    3
307.8644931    53.35126336    20181103    181900    1200    3
333.7015204    -4.54946041    20181103    195900    1200    3
4.775894274    47.48223999    20181103    213900    1200    3
8.682150355    33.96231152    20181103    231900    1200    3
37.17981744    23.34473482    20181103    245900    1200    3
64.33054714    16.67484602    20181103    263900    1200    3
102.8155323    11.72053194    20181103    281900    1200    3
288.0252455    11.99852925    20181104    181800    1200    3
318.5045057    34.29215302    20181104    195800    1200    3
5.387370303    2.694801116    20181104    213800    1200    3
23.62821516    51.81274944    20181104    231800    1200    3
43.99723237    48.14366273    20181104    245800    1200    3
51.25667866    -9.529162099    20181104    263800    1200    3
95.6760697    16.73973026    20181104    281800    1200    3
296.9916831    -2.06381546    20181105    181700    1200    3
335.7155559    13.05061238    20181105    195700    1200    3
343.674453    43.27302011    20181105    213700    1200    3
12.65519933    59.84755698    20181105    231700    1200    3
31.62964038    20.24792441    20181105    245700    1200    3
80.51963272    29.82825973    20181105    263700    1200    3
104.6899687    58.78473638    20181105    281700    1200    3
303.9965836    19.1379398    20181106    181600    1200    3
339.5692024    32.37599507    20181106    195600    1200    3
351.6442108    25.56411388    20181106    213600    1200    3
30.1708797    22.85295275    20181106    231600    1200    3
51.19189588    -2.047817287    20181106    245600    1200    3
56.32062097    22.84744329    20181106    263600    1200    3
79.27949632    -4.124195435    20181106    281600    1200    3
308.7016696    38.54286272    20181107    181500    1200    3
321.5549275    19.25064333    20181107    195500    1200    3
351.6606129    26.82635151    20181107    213500    1200    3
17.1160513    45.90790802    20181107    231500    1200    3
57.76842033    -8.01808641    20181107    245500    1200    3
75.74542172    54.44524364    20181107    263500    1200    3
95.58087226    17.08877763    20181107    281500    1200    3
302.8909484    42.44910228    20181108    181400    1200    3
317.3103175    57.59324123    20181108    195400    1200    3
351.0080941    8.808755326    20181108    213400    1200    3
15.77587672    44.12509263    20181108    231400    1200    3
52.12235874    22.40135488    20181108    245400    1200    3
68.03636411    57.39137953    20181108    263400    1200    3
103.6222454    -9.928071269    20181108    281400    1200    3
313.6456984    31.37023285    20181109    181300    1200    3
323.6538832    46.12781822    20181109    195300    1200    3
347.7101602    37.38132312    20181109    213300    1200    3
19.65718074    28.59666158    20181109    231300    1200    3
50.52774206    48.13928605    20181109    245300    1200    3
61.58076674    7.651524235    20181109    263300    1200    3
83.02193646    3.560588424    20181109    281300    1200    3
290.8589813    -1.733760469    20181110    181200    1200    3
330.5311589    3.758428289    20181110    195200    1200    3
347.5559836    47.39632002    20181110    213200    1200    3
28.87888077    25.8255252    20181110    231200    1200    3
37.96737713    13.10579125    20181110    245200    1200    3
72.09673719    35.92296707    20181110    263200    1200    3
83.02152195    18.23237953    20181110    281200    1200    3
306.6072983    47.51165564    20181111    181100    1200    3
344.8622411    -6.980450244    20181111    195100    1200    3
4.966968583    45.86381131    20181111    213100    1200    3
35.78044815    39.12172856    20181111    231100    1200    3
47.35756196    59.92987234    20181111    245100    1200    3
82.81692582    32.48222407    20181111    263100    1200    3
103.8772353    14.89525578    20181111    281100    1200    3
304.6186427    28.34832019    20181112    181000    1200    3
331.8874003    -2.839256326    20181112    195000    1200    3
8.409835886    14.29541823    20181112    213000    1200    3
11.96129282    52.05354039    20181112    231000    1200    3
40.44496132    2.650631431    20181112    245000    1200    3
61.20318527    6.717108337    20181112    263000    1200    3
85.00467951    43.7736109    20181112    281000    1200    3
293.8907681    25.95081955    20181113    180900    1200    3
334.654455    8.477490916    20181113    194900    1200    3
2.062424216    21.69234395    20181113    212900    1200    3
32.3622835    -3.087827664    20181113    230900    1200    3
50.42068871    11.08769221    20181113    244900    1200    3
60.16390232    -7.74507171    20181113    262900    1200    3
107.3280172    12.57748502    20181113    280900    1200    3
320.5713246    1.857323553    20181114    180800    1200    3
320.3212692    15.71068419    20181114    194800    1200    3
4.26378609    28.90695269    20181114    212800    1200    3
21.68223236    1.555382325    20181114    230800    1200    3
42.91729417    -5.161130037    20181114    244800    1200    3
72.94470192    57.59044944    20181114    262800    1200    3
88.63324784    20.63541853    20181114    280800    1200    3
316.7058381    28.41548012    20181115    180700    1200    3
330.5837759    42.26802717    20181115    194700    1200    3
356.8242115    12.2409897    20181115    212700    1200    3
33.94380126    34.63357933    20181115    230700    1200    3
57.30256818    4.634314994    20181115    244700    1200    3
80.83992573    43.21372579    20181115    262700    1200    3
105.83794    32.88529943    20181115    280700    1200    3
310.7702156    51.29015222    20181116    180600    1200    3
320.6403028    39.66386462    20181116    194600    1200    3
13.66119052    42.62898391    20181116    212600    1200    3
12.5882382    -6.512636326    20181116    230600    1200    3
37.42086312    33.30576346    20181116    244600    1200    3
66.8908205    44.66469245    20181116    262600    1200    3
99.32104945    48.37040983    20181116    280600    1200    3
302.8846906    43.9691692    20181117    180500    1200    3
323.9094377    51.88717802    20181117    194500    1200    3
351.0028796    58.74540835    20181117    212500    1200    3
35.02849479    22.88954657    20181117    230500    1200    3
42.0502896    54.60052184    20181117    244500    1200    3
71.69607699    18.84966453    20181117    262500    1200    3
99.70473884    28.63256956    20181117    280500    1200    3
302.4013685    -0.3012513522    20181118    180400    1200    3
337.6735328    -3.100376058    20181118    194400    1200    3
347.0399176    -5.969068995    20181118    212400    1200    3
35.83020843    -0.8255679799    20181118    230400    1200    3
46.81639933    16.19201466    20181118    244400    1200    3
89.01765131    8.076284398    20181118    262400    1200    3
110.0915485    45.33905723    20181118    280400    1200    3
324.8540065    28.78043471    20181119    180300    1200    3
324.3040996    54.895363    20181119    194300    1200    3
11.05791821    48.34819014    20181119    212300    1200    3
33.58277224    14.71162042    20181119    230300    1200    3
55.34407599    10.45301708    20181119    244300    1200    3
65.31695025    53.1660584    20181119    262300    1200    3
100.5016884    56.9202754    20181119    280300    1200    3
313.7955668    40.4939967    20181120    180200    1200    3
336.4543173    13.87919295    20181120    194200    1200    3
348.2187029    12.9863824    20181120    212200    1200    3
41.27441914    8.978898773    20181120    230200    1200    3
67.41452623    4.361799001    20181120    244200    1200    3
82.42984007    -9.240767964    20181120    262200    1200    3
92.04221944    15.10050154    20181120    280200    1200    3
